key,name,pos,team,bye,std,half_ppr,ppr
moore_WR_ARI,Rondale Moore,WR,ARI,13,141.0,166.0,174.8
gallup_WR_DAL,Michael Gallup,WR,DAL,9,145.0,156.8,147.0
herbert_RB_CHI,Khalil Herbert,RB,CHI,14,145.0,162.0,177.8
okwuegbunam_TE_DEN,Albert Okwuegbunam,TE,DEN,9,148.0,151.8,173.0
mostert_RB_MIA,Raheem Mostert,RB,MIA,11,150.0,142.5,144.8
ryan_QB_IND,Matt Ryan,QB,IND,14,151.0,163.3,164.8
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,6,151.7,171.8,189.5
dotson_WR_WSH,Jahan Dotson,WR,WSH,14,153.3,176.8,182.7
parker_WR_NE,DeVante Parker,WR,NE,10,153.7,149.5,154.0
williams_RB_DET,Jamaal Williams,RB,DET,6,155.3,160.5,169.7
tolbert_WR_DAL,Jalen Tolbert,WR,DAL,9,155.3,175.8,194.3
hardman_WR_KC,Mecole Hardman,WR,KC,8,155.3,160.8,155.2
njoku_TE_CLE,David Njoku,TE,CLE,9,155.7,173.0,163.0
fant_TE_SEA,Noah Fant,TE,SEA,11,156.0,171.5,162.2
allgeier_RB_ATL,Tyler Allgeier,RB,ATL,14,157.0,150.3,169.2
watson_WR_GB,Christian Watson,WR,GB,14,157.3,156.3,154.0
watson_QB_CLE,Deshaun Watson,QB,CLE,9,157.3,155.3,151.0
williams_WR_DET,Jameson Williams,WR,DET,6,157.7,166.3,177.0
henry_TE_NE,Hunter Henry,TE,NE,10,160.0,168.3,146.3
winston_QB_NO,Jameis Winston,QB,NO,14,160.7,175.5,178.8
jones_QB_NE,Mac Jones,QB,NE,10,162.3,165.0,179.2
williams_RB_ARI,Darrel Williams,RB,ARI,13,165.3,170.5,190.2
pickens_WR_PIT,George Pickens,WR,PIT,9,167.0,165.3,183.7
edwards_RB_BAL,Gus Edwards,RB,BAL,10,168.0,159.5,200.3
everett_TE_LAC,Gerald Everett,TE,LAC,8,170.7,189.3,183.5
engram_TE_JAX,Evan Engram,TE,JAX,11,171.7,182.8,187.0
tucker_K_BAL,Justin Tucker,K,BAL,10,172.3,140.0,122.7
tonyan_TE_GB,Robert Tonyan,TE,GB,14,172.7,182.0,182.7
ingram_RB_NO,Mark Ingram II,RB,NO,14,173.0,159.8,166.2
mack_RB_HOU,Marlon Mack,RB,HOU,6,174.7,146.5,154.8
foreman_RB_CAR,D'Onta Foreman,RB,CAR,13,175.0,178.8,199.6
jones_WR_TB,Julio Jones,WR,TB,11,177.7,161.0,171.7
palmer_WR_LAC,Joshua Palmer,WR,LAC,8,178.3,177.0,203.6
drake_RB_LV,Kenyan Drake,RB,LV,6,179.0,196.7,199.5
anderson_WR_CAR,Robbie Anderson,WR,CAR,13,180.7,196.0,201.0
robinson_RB_WSH,Brian Robinson Jr.,RB,WSH,14,182.3,182.0,185.5
carlson_K_LV,Daniel Carlson,K,LV,6,182.7,153.3,143.5
pierce_WR_IND,Alec Pierce,WR,IND,14,182.7,190.0,213.5
davis_WR_NYJ,Corey Davis,WR,NYJ,10,184.3,187.5,207.8
mills_QB_HOU,Davis Mills,QB,HOU,6,185.3,205.5,227.4
wilson_QB_NYJ,Zach Wilson,QB,NYJ,10,187.3,186.5,216.7
michel_RB_MIA,Sony Michel,RB,MIA,11,187.7,176.0,188.5
mcpherson_K_CIN,Evan McPherson,K,CIN,10,188.3,153.3,141.0
jefferson_WR_LAR,Van Jefferson,WR,LAR,7,189.0,173.7,199.3
wentz_QB_WSH,Carson Wentz,QB,WSH,14,191.0,188.0,218.0
osborn_WR_MIN,K.J. Osborn,WR,MIN,7,191.7,181.5,211.8
davisprice_RB_SF,Tyrion Davis-Price,RB,SF,9,193.3,191.5,173.5
butker_K_KC,Harrison Butker,K,KC,8,193.3,161.0,143.5
goff_QB_DET,Jared Goff,QB,DET,6,195.3,212.8,224.0
higbee_TE_LAR,Tyler Higbee,TE,LAR,7,196.3,205.5,190.2
watkins_WR_GB,Sammy Watkins,WR,GB,14,197.3,192.3,223.0
peoplesjones_WR_CLE,Donovan Peoples-Jones,WR,CLE,9,198.7,197.5,225.8
jones_QB_NYG,Daniel Jones,QB,NYG,9,199.0,237.7,229.0
doubs_WR_GB,Romeo Doubs,WR,GB,14,199.3,208.5,221.0
gay_K_LAR,Matt Gay,K,LAR,7,199.7,166.3,155.7
white_RB_LV,Zamir White,RB,LV,6,200.0,203.3,217.0
hurst_TE_CIN,Hayden Hurst,TE,CIN,10,205.3,211.0,211.5
mayfield_QB_CAR,Baker Mayfield,QB,CAR,13,206.3,195.5,217.7
bills_DST_BUF,Bills,DST,BUF,7,144.0,120.3,107.7
jones_WR_JAX,Marvin Jones Jr.,WR,JAX,11,209.0,212.0,214.7
hooper_TE_TEN,Austin Hooper,TE,TEN,6,209.3,211.3,213.5
bass_K_BUF,Tyler Bass,K,BUF,7,210.0,175.8,161.3
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,13,210.3,194.5,199.3
samuel_WR_WSH,Curtis Samuel,WR,WSH,14,211.3,187.5,227.0
crowder_WR_BUF,Jamison Crowder,WR,BUF,7,211.7,202.7,231.4
