key,name,pos,team,bye,std,half_ppr,ppr
thornton_WR_NE,Tyquan Thornton,WR,NE,10,269.5,265.0,287.3
sanders_K_MIA,Jason Sanders,K,MIA,11,269.5,245.0,252.8
hilliard_RB_TEN,Dontrell Hilliard,RB,TEN,6,269.5,259.5,257.5
jones_WR_CHI,Velus Jones Jr.,WR,CHI,14,271.0,278.0,290.5
falcons_DST_ATL,Falcons,DST,ATL,14,208.0,194.0,234.0
willis_QB_TEN,Malik Willis,QB,TEN,6,274.0,316.0,319.0
york_K_CLE,Cade York,K,CLE,9,216.0,250.5,234.3
brissett_QB_CLE,Jacoby Brissett,QB,CLE,9,217.0,271.0,282.0
pacheco_RB_KC,Isiah Pacheco,RB,KC,8,277.0,280.0,267.5
cardinals_DST_ARI,Cardinals,DST,ARI,13,277.5,294.0,253.0
edwards_WR_ATL,Bryan Edwards,WR,ATL,14,297.3,320.0,311.0
bengals_DST_CIN,Bengals,DST,CIN,10,278.5,246.0,224.8
bellinger_TE_NYG,Daniel Bellinger,TE,NYG,9,278.5,341.0,308.5
lock_QB_SEA,Drew Lock,QB,SEA,11,279.5,356.0,311.5
strong_RB_NE,Pierre Strong Jr.,RB,NE,10,279.5,272.0,280.5
seahawks_DST_SEA,Seahawks,DST,SEA,11,224.0,234.0,244.5
berrios_WR_NYJ,Braxton Berrios,WR,NYJ,10,300.0,365.0,362.0
metchie_WR_HOU,John Metchie III,WR,HOU,6,291.0,323.0,319.5
panthers_DST_CAR,Panthers,DST,CAR,13,286.0,228.0,225.0
lions_DST_DET,Lions,DST,DET,6,237.0,206.0,197.0
eagles_DST_PHI,Eagles,DST,PHI,7,288.0,259.3,241.8
ross_WR_KC,Justyn Ross,WR,KC,8,241.0,264.5,264.5
smith_QB_SEA,Geno Smith,QB,SEA,11,288.5,326.0,269.0
elliott_K_PHI,Jake Elliott,K,PHI,7,292.5,295.5,249.8
williams_RB_LAR,Kyren Williams,RB,LAR,7,292.5,282.0,268.5
watkins_WR_PHI,Quez Watkins,WR,PHI,7,293.5,358.0,317.0
westbrookikhine_WR_TEN,Nick Westbrook-Ikhine,WR,TEN,6,295.5,321.5,381.0
johnson_RB_BUF,Duke Johnson Jr.,RB,BUF,7,294.5,290.0,303.0
woods_TE_IND,Jelani Woods,TE,IND,14,295.5,270.5,279.0
moss_RB_BUF,Zack Moss,RB,BUF,7,297.5,332.0,282.7
guyton_WR_LAC,Jalen Guyton,WR,LAC,8,264.0,261.0,271.0
burkhead_RB_HOU,Rex Burkhead,RB,HOU,6,300.0,297.0,266.0
washington_WR_DAL,James Washington,WR,DAL,9,266.0,270.5,278.0
conner_RB_JAX,Snoop Conner,RB,JAX,11,301.0,307.0,315.0
conklin_TE_NYJ,Tyler Conklin,TE,NYJ,10,301.5,331.0,282.7
darnold_QB_CAR,Sam Darnold,QB,CAR,13,305.0,377.0,374.0
sims_WR_WSH,Cam Sims,WR,WSH,14,276.0,318.0,323.0
darden_WR_TB,Jaelon Darden,WR,TB,11,277.0,322.0,325.0
jets_DST_NYJ,Jets,DST,NYJ,10,278.0,262.0,238.0
otton_TE_TB,Cade Otton,TE,TB,11,278.0,277.0,279.5
zaccheaus_WR_ATL,Olamide Zaccheaus,WR,ATL,14,307.0,311.0,238.0
