"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
"Colt McCoy","ARI","29.8","19.8","208.6","1.2","0.9","3.4","13.3","0.1","0.2","13.7"
"Nick Foles","IND","25.7","16.9","186.7","1.3","0.9","3.5","16.0","0.1","0.1","13.5"
"C.J. Beathard","JAC","29.5","18.2","196.8","1.2","0.5","3.8","16.1","0.1","0.7","13.1"
"Trevor Siemian","CHI","28.7","17.5","190.9","1.1","0.8","2.9","12.3","0.1","0.1","12.6"
"Malik Willis","TEN","22.6","14.5","156.9","1.2","0.9","3.1","17.0","0.1","0.1","12.4"
"Tim Boyle","DET","30.4","19.0","193.1","1.1","1.1","3.0","12.0","0.0","0.1","12.1"
"Jimmy Garoppolo","SF","21.0","14.0","169.0","1.0","1.0","5.0","20.0","0.0","0.0","11.8"
"Brian Hoyer","NE","28.5","18.6","193.7","1.1","1.1","3.9","5.1","0.1","0.1","11.7"
"Mason Rudolph","PIT","27.0","17.0","163.0","1.0","1.0","4.0","15.0","0.0","0.0","11.0"
"Matt Corral","CAR","27.2","16.6","175.5","1.0","1.0","2.0","7.7","0.1","0.1","10.7"
"Kyle Trask","TB","22.0","13.0","135.0","1.0","0.0","1.0","3.0","0.0","0.0","9.7"
"Nick Mullens","LV","26.0","18.0","202.0","1.0","1.0","4.0","5.0","0.0","1.0","9.6"
"Taylor Heinicke","WAS","19.2","12.4","128.8","0.9","0.7","3.5","14.6","0.0","0.1","9.5"
"Mike White","NYJ","23.0","13.0","146.0","1.0","1.0","4.0","3.0","0.0","0.0","9.1"
"Kellen Mond","MIN","20.0","11.0","106.0","1.0","0.0","1.0","4.0","0.0","0.0","8.6"
"Nathan Peterman","CHI","15.0","8.0","90.0","1.0","1.0","4.0","18.0","0.0","0.0","8.4"
"Sam Howell","WAS","16.4","10.0","109.2","0.8","0.5","2.0","8.8","0.1","0.1","8.1"
"Joshua Dobbs","CLE","11.6","8.0","68.7","0.6","0.1","2.7","12.3","0.0","0.0","6.2"
""
""
